session_id,label,label_confidence,local_time,timestamp_ms,side,device_id,sync_id,packet_seq,p1,p2,p3,p4,p5,p6,t1,t2,t3,t4,ax,ay,az,gx,gy,gz,quality_flags,source
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:02.192+08:00,1786712882192,left,foot_left_001,2402087,343629818,0.0,0.0,0.0,0.0,0.0,0.002,29.1,27.95,28.4,27.87,-4.697385349999999,1.8632634999999997,-7.4726672999999995,-3.3,26.2,6.9,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:02.390+08:00,1786712882390,right,foot_right_001,2402087,343629819,0.0039,0.0,0.0,0.0,0.0449,0.0698,30.1,32.01,23.24,31.86,3.87362675,4.0599530999999995,-6.756781849999999,-5.4,-0.5,-1.0,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:02.392+08:00,1786712882392,left,foot_left_001,2402087,343629819,0.0195,0.0,0.0002,0.0,0.0,0.0,29.39,28.51,28.93,28.4,-5.011198149999999,1.6180972499999997,-7.1588544999999995,-1.4,4.5,-1.2,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:02.590+08:00,1786712882590,right,foot_right_001,2402087,343629820,0.0078,0.0,0.0,0.0,0.0418,0.0615,30.18,32.06,23.32,31.92,3.85401345,3.9814998999999998,-6.7862018,-5.0,-0.5,-0.8,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:02.592+08:00,1786712882592,left,foot_left_001,2402087,343629820,0.0447,0.0,0.0,0.0,0.0,0.0,29.78,29.05,29.25,28.48,-5.952636549999999,3.2067745499999996,-5.88399,-9.3,15.5,8.6,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:02.790+08:00,1786712882790,right,foot_right_001,2402087,343629821,0.0117,0.0,0.0005,0.0,0.0361,0.0549,30.24,32.09,23.34,31.98,3.93246665,3.99130655,-6.7273619,-7.4,-0.1,-0.9,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:02.792+08:00,1786712882792,left,foot_left_001,2402087,343629821,0.0,0.0,0.0015,0.0022,0.0,0.0125,29.93,29.13,29.5,28.79,-4.8248717999999995,2.2947561,-6.756781849999999,-1.5,10.9,5.4,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:02.990+08:00,1786712882990,right,foot_right_001,2402087,343629822,0.0,0.002,0.0002,0.0,0.0361,0.042,30.24,32.24,23.4,32.03,3.81478685,4.10898635,-6.65871535,-8.1,4.7,1.5,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:02.992+08:00,1786712882992,left,foot_left_001,2402087,343629822,0.0144,0.0,0.0017,0.0,0.0,0.0142,30.18,29.53,29.78,29.33,-5.236751099999999,1.765197,-6.982334799999999,8.3,6.2,0.2,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:03.190+08:00,1786712883190,right,foot_right_001,2402087,343629823,0.0039,0.0,0.0,0.0,0.0339,0.0493,30.3,32.3,23.4,32.06,3.8932400499999997,4.03053315,-6.7273619,-5.6,-1.0,-1.9,0,ble
